"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs.kg_inter_Fem_GP_1","Eggs.kg_slope_wt_Fem_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Early_InitAge_25","Early_InitAge_24","Early_InitAge_23","Early_InitAge_22","Early_InitAge_21","ForeRecr_101","LnQ_base_Survey_2","Size_DblN_peak_Fishery_1","Size_DblN_top_logit_Fishery_1","Size_DblN_ascend_se_Fishery_1","Size_DblN_descend_se_Fishery_1","Size_DblN_start_logit_Fishery_1","Size_DblN_end_logit_Fishery_1","Size_DblN_peak_Survey_2","Size_DblN_top_logit_Survey_2","Size_DblN_ascend_se_Survey_2","Size_DblN_descend_se_Survey_2","Size_DblN_start_logit_Survey_2","Size_DblN_end_logit_Survey_2","minage.sel.1_Fishery_1","maxage.sel.1_Fishery_1","minage.sel.1_Survey_2","maxage.sel.1_Survey_2","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_2_Survey","Curr_Var_Adj_agecomp_flt_2_Survey","version","RunTime","model_run","hessian","Niterations","Curr_Var_Adj_lcomp_flt_1_Fishery","Curr_Var_Adj_agecomp_flt_1_Fishery","iteration","scenario"
5133010000,5171610000,5169800000,170271000,2053210000,0.480769,0.0813347,169236000,1574120000,0.104921,167741000,1866330000,0.449263,0.0898703,170107000,170107000,2.33993e-05,0.296161511471826,"0.393990087015545",1,26,99,100,0.9,NA,NA,NA,0.2,19.576,129.367,0.207402,0.10173,0.108552,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.9529,0.65,0.4,0,0,0.00190665,0.000419773,0.000510319,0.000619947,0.000752491,0,-0.00195355,49.337,-3,15.1489,15,-999,999,43.6836,-4,5.64859,14,-99,99,0,25,0,25,161568000,1017.09,1.45433e-14,0,-131.831,825.437,373.097,-49.6186,0,0,0,0.000428267,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",4.11666666666667,"em",TRUE,1229,NA,NA,1,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.37544133706154,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.370081,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,160026000,538286000,537409000,0,874157,662.988,1735.36,55.3195,0,0.428,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0333333333333333,"om",FALSE,2,1,1,1,"sd_0.025_yrs1"
4754420000,4789910000,4788260000,153958000,1901770000,0.480769,0.0856744,165192000,1458020000,0.110941,164399000,1703600000,0.4447,0.096189,166304000,166304000,0.0241994,0.284606744881605,"0.398066376613313",1,26,99,100,0.9,NA,NA,NA,0.2,19.7932,133.174,0.196125,0.105597,0.0860087,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.8522,0.65,0.4,0,0,-0.00137939,-0.000304343,-0.000369711,-0.000448674,-0.00054392,0,0.127148,24.5621,-3,1.06712,15,-999,999,43.8811,-4,5.53548,14,-99,99,0,25,0,25,160190000,1022.84,8.28946e-13,0,-133.248,850.41,354.98,-49.3072,0,0,0,0.00266948,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",9,"em",TRUE,3883,NA,NA,2,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.38162617710287,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.0313106,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,160028000,534741000,533869000,0,869552,661.756,1732.22,57.2509,0,0.00306361,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0166666666666667,"om",FALSE,2,1,1,2,"sd_0.025_yrs1"
3904750000,3933350000,3932020000,126948000,1561900000,0.480769,0.109854,174069000,1197460000,0.144418,175946000,1318980000,0.426931,0.131807,176688000,176688000,0.000239393,0.380457135540047,"0.441084132733963",1,26,99,100,0.9,NA,NA,NA,0.2,20.0101,130.263,0.20633,0.0918323,0.11271,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6593,0.65,0.4,0,0,0.00212449,0.000467572,0.000568288,0.000690162,0.000837428,0,-0.0770452,53.9275,-3,0.464272,15,-999,999,30.9977,-4,3.31016,14,-99,99,0,25,0,25,143532000,1024.01,8.80529e-15,0,-132.987,818.698,376.337,-38.0431,0,0,0,0.0035603,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",3.58333333333333,"em",TRUE,1174,NA,NA,3,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.326322542101474,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.177599,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,143487000,538847000,537958000,0,887001,667.129,1751.75,69.8681,0,0.0985669,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0166666666666667,"om",FALSE,2,1,1,3,"sd_0.025_yrs1"
3.5e+09,3524840000,3523670000,111203000,1.4e+09,0.480769,0.111737,158631000,1073330000,0.147071,160522000,1.177e+09,0.425632,0.134765,161136000,161136000,0.000141825,0.527757142857143,"0.403211223756966",1,26,99,100,0.9,NA,NA,NA,0.2,19.9922,132.106,0.203682,0.0951147,0.0995686,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.5269,0.65,0.4,0,0,-0.00460524,-0.00101874,-0.00123755,-0.00150196,-0.00182091,0,-0.0380546,56.6402,-3,0.279756,15,-999,999,34.9192,-4,4.33664,14,-99,99,0,25,0,25,192331000,1005.74,1.40392e-13,0,-130.331,825.3,357.78,-47.0155,0,0,0,0.0037811,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",4.15,"em",TRUE,1283,NA,NA,4,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.444965696908559,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,-0.573025,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,192443000,530616000,529745000,0,868967,668.338,1734.36,46.8848,0,1.02612,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0166666666666667,"om",FALSE,2,1,1,4,"sd_0.025_yrs1"
4653280000,4689040000,4687400000,154699000,1861310000,0.480769,0.0912231,172215000,1427010000,0.118186,171484000,1663800000,0.444037,0.102663,173425000,173425000,0.000174413,0.360135216449472,"0.418161269230171",1,26,99,100,0.9,NA,NA,"Size_DblN_peak_Fishery(1)",0.2,20.8973,130.377,0.200868,0.101424,0.0946461,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.857,0.65,0.4,0,0,0.00501596,0.00110152,0.00133906,0.00162661,0.00197421,0,0.0342507,101.533,-3,9.11721,15,-999,999,39.4566,-4,4.51056,14,-99,99,0,25,0,25,181966000,1005.38,5.5923e-15,0,-133.757,817.034,366.17,-44.078,0,0,0,0.00653801,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",4.46666666666667,"em",TRUE,1459,NA,NA,5,"sd_0.025_yrs1"
4084180000,4114410000,4113010000,132223000,1633670000,0.480769,0.0979971,162416000,1252480000,0.127929,163009000,1417980000,0.435066,0.113958,164172000,164172000,NA,0.424244279145385,NA,1,1,100,100,0,NA,NA,NA,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7,0.65,0.4,0,0,NA,NA,NA,NA,NA,0.210608,0,50.8,-3,5.1,15,-999,999,41.8,-4,5.2,14,-99,99,0,25,0,25,179344000,539025000,538146000,0,876544,667.568,1748.24,59.8593,0,0.138612,0,0.000873468,0,0,1,1,"3.30.19.01;_safe;_compile_date:_Apr 15 2022;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.0333333333333333,"om",FALSE,2,1,1,5,"sd_0.025_yrs1"
