"fValues" "eqCatch"
"1" 0 0
"2" 0.01 36994400
"3" 0.02 67111000
"4" 0.03 91501100
"5" 0.04 111098000
"6" 0.05 126665000
"7" 0.06 138827000
"8" 0.07 148104000
"9" 0.08 154926000
"10" 0.09 159652000
"11" 0.1 162586000
"12" 0.11 163981000
"13" 0.12 164054000
"14" 0.13 162987000
"15" 0.14 160936000
"16" 0.15 158035000
"17" 0.16 154398000
"18" 0.17 150124000
"19" 0.18 145298000
"20" 0.19 139993000
"21" 0.2 134273000
"22" 0.21 128194000
"23" 0.22 121805000
"24" 0.23 115148000
"25" 0.24 108264000
"26" 0.25 101186000
"27" 0.26 93947900
"28" 0.27 86582900
"29" 0.28 79124900
"30" 0.29 71611600
"31" 0.3 64087800
"32" 0.31 56609000
"33" 0.32 49245100
"34" 0.33 42084100
"35" 0.34 35232800
"36" 0.35 28814100
"37" 0.36 22956000
"38" 0.37 17775400
"39" 0.38 13356800
"40" 0.39 9734620
"41" 0.4 6885440
"42" 0.41 4734320
"43" 0.42 3172200
"44" 0.43 2077320
"45" 0.44 1333580
"46" 0.45 841769
"47" 0.46 523838
"48" 0.47 322152
"49" 0.48 196181
"50" 0.49 118501
"51" 0.5 71098.5
"52" 0.51 42420.5
"53" 0.52 25193
"54" 0.53 14904.5
"55" 0.54 8789.68
"56" 0.55 5169.92
"57" 0.56 3034.24
"58" 0.57 1777.64
"59" 0.58 1039.95
"60" 0.59 607.69
"61" 0.6 354.787
"62" 0.61 207
"63" 0.62 120.723
"64" 0.63 70.3917
"65" 0.64 41.0462
"66" 0.65 23.9426
"67" 0.66 13.9762
"68" 0.67 8.1689
"69" 0.68 4.78485
"70" 0.69 2.81243
"71" 0.7 1.66235
"72" 0.71 0.991382
"73" 0.72 0.599623
"74" 0.73 0.37063
"75" 0.74 0.236566
"76" 0.75 0.157896
"77" 0.76 0.111576
"78" 0.77 0.0841628
"79" 0.78 0.0678127
"80" 0.79 0.0579452
"81" 0.8 0.0518839
"82" 0.81 0.0480633
"83" 0.82 0.045567
"84" 0.83 0.0438577
"85" 0.84 0.0426202
"86" 0.85 0.0416689
"87" 0.86 0.0408945
"88" 0.87 0.0402322
"89" 0.88 0.0396436
"90" 0.89 0.0391054
"91" 0.9 0.0386038
"92" 0.91 0.0381301
"93" 0.92 0.0376789
"94" 0.93 0.0372468
"95" 0.94 0.0368313
"96" 0.95 0.0364308
"97" 0.96 0.0360441
"98" 0.97 0.0356702
"99" 0.98 0.0353084
"100" 0.99 0.0349578
"101" 1 0.034618
"102" 1.01 0.0342885
"103" 1.02 0.0339687
"104" 1.03 0.0336581
"105" 1.04 0.0333565
"106" 1.05 0.0330633
"107" 1.06 0.0327783
"108" 1.07 0.0325011
"109" 1.08 0.0322313
"110" 1.09 0.0319687
"111" 1.1 0.031713
"112" 1.11 0.0314639
"113" 1.12 0.0312211
"114" 1.13 0.0309844
"115" 1.14 0.0307536
"116" 1.15 0.0305285
"117" 1.16 0.0303088
"118" 1.17 0.0300943
"119" 1.18 0.029885
"120" 1.19 0.0296804
"121" 1.2 0.0294806
"122" 1.21 0.0292854
"123" 1.22 0.0290945
"124" 1.23 0.0289079
"125" 1.24 0.0287254
"126" 1.25 0.0285468
"127" 1.26 0.0283721
"128" 1.27 0.0282011
"129" 1.28 0.0280337
"130" 1.29 0.0278698
"131" 1.3 0.0277092
"132" 1.31 0.0275519
"133" 1.32 0.0273978
"134" 1.33 0.0272467
"135" 1.34 0.0270987
"136" 1.35 0.0269535
"137" 1.36 0.0268111
"138" 1.37 0.0266715
"139" 1.38 0.0265345
"140" 1.39 0.0264001
"141" 1.4 0.0262682
"142" 1.41 0.0261387
"143" 1.42 0.0260116
"144" 1.43 0.0258868
"145" 1.44 0.0257642
"146" 1.45 0.0256438
"147" 1.46 0.0255255
"148" 1.47 0.0254093
"149" 1.48 0.0252951
"150" 1.49 0.0251829
"151" 1.5 0.0250725
"152" 1.51 0.024964
"153" 1.52 0.0248574
"154" 1.53 0.0247525
"155" 1.54 0.0246493
"156" 1.55 0.0245478
"157" 1.56 0.024448
"158" 1.57 0.0243497
"159" 1.58 0.024253
"160" 1.59 0.0241578
"161" 1.6 0.0240642
"162" 1.61 0.0239719
"163" 1.62 0.0238811
"164" 1.63 0.0237917
"165" 1.64 0.0237036
"166" 1.65 0.0236169
"167" 1.66 0.0235315
"168" 1.67 0.0234473
"169" 1.68 0.0233643
"170" 1.69 0.0232826
"171" 1.7 0.0232021
"172" 1.71 0.0231227
"173" 1.72 0.0230444
"174" 1.73 0.0229673
"175" 1.74 0.0228912
"176" 1.75 0.0228162
"177" 1.76 0.0227423
"178" 1.77 0.0226693
"179" 1.78 0.0225974
"180" 1.79 0.0225264
"181" 1.8 0.0224564
"182" 1.81 0.0223873
"183" 1.82 0.0223192
"184" 1.83 0.0222519
"185" 1.84 0.0221855
"186" 1.85 0.02212
"187" 1.86 0.0220554
"188" 1.87 0.0219915
"189" 1.88 0.0219285
"190" 1.89 0.0218663
"191" 1.9 0.0218049
"192" 1.91 0.0217442
"193" 1.92 0.0216843
"194" 1.93 0.0216251
"195" 1.94 0.0215667
"196" 1.95 0.0215089
"197" 1.96 0.0214519
"198" 1.97 0.0213956
"199" 1.98 0.0213399
"200" 1.99 0.0212849
"201" 2 0.0212305
